index,Pb,Sn,Te,Formula Unit,Starting_Spacegroup,Relaxed_Spacegroup,Enthalpy Relative to Elements (meV/atom),E_hull (meV/atom),E_above_hull (meV/atom)
aflow:9fd437ad929dad6d,1,0,0,Pb1,Fm-3m#225,Fm-3m#225,-0.132,-0.132,0
aflow:ece12ee5db7be3e3,0,0.5,0.5,Sn2Te2,P4/nmm#129,P4/nmm#129,-312.548,-312.548,0
aflow:c6485be25bbf4583,0,1,0,Sn2,Fd-3m#227,Fd-3m#227,-42.306,-42.306,0
aflow:bb3fe0996504fb17,0.5,0,0.5,Pb1Te1,Fm-3m#225,Fm-3m#225,-409.012,-409.012,0
aflow:bdf78988d5359fba,0,0,1,Te3,P3_{1}21#152,P3_{1}21#152,-0.065,-0.065,0
aflow:28140278e99f0b51,0.25,0.25,0.5,Pb1Sn1Te2,C2/m#12,R-3m#166,-356.46,-360.78,4.32
aflow:348d91367c592982,0.888888889,0.111111111,0,Pb8Sn1,I4/mmm#139,I4/mmm#139,5.764,-4.818,10.582
aflow:db5cae443f717bad,0.75,0.25,0,Pb3Sn1,Pmmm#47,Pmmm#47,1.9458,-10.6755,12.6213
aflow:cb13e9f106727e3a,0.833333333,0.166666667,0,Pb5Sn1,Cmmm#65,Cmmm#65,8.0625,-7.161,15.2235
aflow:443bc2d39e51d49a,0.666666667,0.333333333,0,Pb2Sn1,I4/mmm#139,I4/mmm#139,11.6223,-14.19,25.8123
aflow:e0591bf6614e26d5,0.625,0.375,0,Pb5Sn3,Cmmm#65,Cmmm#65,16.1511,-15.94725,32.09835
aflow:74009437b6bd765f,0.5,0.5,0,Pb2Sn2,P4/nmm#129,P4/nmm#129,14.1915,-21.219,35.4105
aflow:8bc7f5029ba45c6d,0,0.333333333,0.666666667,Sn2Te4,Cmcm#63,Cmcm#63,-165.923,-208.387,42.464
aflow:e8ea32958a4ee126,0.333333333,0.666666667,0,Pb1Sn2,I4/mmm#139,I4/mmm#139,17.635,-28.248,45.883
