PbTe,PbSe,PbS,Free Energy (eV/atom),Uncertainty (eV/atom)
0.5,0,0.5,0.018089758,0.000903589
0,0.25,0.75,-0.008281423,0.000157593
0.166666667,0.416666667,0.416666667,-0.00221748,0.000844651
0.25,0.25,0.5,0.00376205,0.000929603
0.166666667,0.833333333,0,-0.002419567,0.000442821
0,0.5,0.5,-0.009575499,0.000252601
0.166666667,0.166666667,0.666666667,0.003319268,0.000820934
0.25,0,0.75,0.014745153,0.001226313
0.833333333,0.083333333,0.083333333,-0.000325321,0.000375564
0.166666667,0.666666667,0.166666667,-0.006213635,0.00050684
0.083333333,0,0.916666667,0.006313305,0.00025223
0.916666667,0,0.083333333,0.004383991,0.000206911
0.166666667,0,0.833333333,0.009951575,0.000985327
0.833333333,0.166666667,0,-0.002545611,0.000321026
0.833333333,0,0.166666667,0.007289993,0.000625053
0.583333333,0.416666667,0,-0.002881085,0.00044058
0.416666667,0.166666667,0.416666667,0.007390479,0.000796191
0.333333333,0.333333333,0.333333333,-0.001726023,0.000400594
0.083333333,0.916666667,0,-0.00119909,0.000178709
0.25,0.5,0.25,-0.001860096,0.000664863
0.5,0.25,0.25,0.002254415,0.000908372
0.333333333,0.083333333,0.583333333,0.014552693,0.000916176
0.333333333,0.666666667,0,-0.002608532,0.000491823
0.25,0.75,0,-0.002836032,0.000488632
0.666666667,0.333333333,0,-0.003614467,0.000554561
0.75,0.25,0,-0.002901526,0.000454952
0.916666667,0.083333333,0,-0.001900886,0.000178284
0.666666667,0.166666667,0.166666667,0.000963721,0.000564866
0.416666667,0.416666667,0.166666667,-0.002632563,0.000620429
0.583333333,0.083333333,0.333333333,0.01088602,0.000707541
0,0.75,0.25,-0.008467053,0.000149451
0.083333333,0.083333333,0.833333333,0.001145851,0.000519139
0.416666667,0.583333333,0,-0.001975381,0.000572328
0.75,0,0.25,0.011457285,0.000632004
0.5,0.5,0,-0.002190027,0.000560131
